Image Path,Text on Page
C:\Users\valak\Desktop\thesis\images\page_29_image_6.png,Normal fresh adrenal gland intact (a) and sectioned (b). Normal adrenal gland section fixed in formaldehyde. Normal fresh thyroid gland. Normal thyroid fixed in formaldehyde.
C:\Users\valak\Desktop\thesis\images\page_29_image_7.png,Normal fresh adrenal gland intact (a) and sectioned (b). Normal adrenal gland section fixed in formaldehyde. Normal fresh thyroid gland. Normal thyroid fixed in formaldehyde.
C:\Users\valak\Desktop\thesis\images\page_29_image_8.png,Normal fresh adrenal gland intact (a) and sectioned (b). Normal adrenal gland section fixed in formaldehyde. Normal fresh thyroid gland. Normal thyroid fixed in formaldehyde.
C:\Users\valak\Desktop\thesis\images\page_30_image_1.png,Normal fresh testes. Normal testes fixed in formaldehyde. Normal fresh prostate. Normal prostate fixed in formaldehyde.
C:\Users\valak\Desktop\thesis\images\page_30_image_2.png,Normal fresh testes. Normal testes fixed in formaldehyde. Normal fresh prostate. Normal prostate fixed in formaldehyde.
C:\Users\valak\Desktop\thesis\images\page_30_image_3.png,Normal fresh testes. Normal testes fixed in formaldehyde. Normal fresh prostate. Normal prostate fixed in formaldehyde.
C:\Users\valak\Desktop\thesis\images\page_30_image_4.png,Normal fresh testes. Normal testes fixed in formaldehyde. Normal fresh prostate. Normal prostate fixed in formaldehyde.
C:\Users\valak\Desktop\thesis\images\page_30_image_5.png,Normal fresh testes. Normal testes fixed in formaldehyde. Normal fresh prostate. Normal prostate fixed in formaldehyde.
C:\Users\valak\Desktop\thesis\images\page_31_image_1.png,Normal fresh pancreas. Normal fresh esophagus. Aorta with slight atherosclerosis. Note the fatty streaks on the intimal surface. Normal fresh bladder.
C:\Users\valak\Desktop\thesis\images\page_31_image_2.png,Normal fresh pancreas. Normal fresh esophagus. Aorta with slight atherosclerosis. Note the fatty streaks on the intimal surface. Normal fresh bladder.
C:\Users\valak\Desktop\thesis\images\page_31_image_3.png,Normal fresh pancreas. Normal fresh esophagus. Aorta with slight atherosclerosis. Note the fatty streaks on the intimal surface. Normal fresh bladder.
C:\Users\valak\Desktop\thesis\images\page_31_image_4.png,Normal fresh pancreas. Normal fresh esophagus. Aorta with slight atherosclerosis. Note the fatty streaks on the intimal surface. Normal fresh bladder.
C:\Users\valak\Desktop\thesis\images\page_32_image_1.png,(a) Figure (a) demonstrates congestion of fresh brain. Note the slight pink color. Figures (b) and (c) demonstrate fresh brain in an individual who exsanguinated from a ruptured aortic aneurysm. Note the pale discoloration due to blood loss.
C:\Users\valak\Desktop\thesis\images\page_32_image_2.png,(a) Figure (a) demonstrates congestion of fresh brain. Note the slight pink color. Figures (b) and (c) demonstrate fresh brain in an individual who exsanguinated from a ruptured aortic aneurysm. Note the pale discoloration due to blood loss.
C:\Users\valak\Desktop\thesis\images\page_32_image_3.png,(a) Figure (a) demonstrates congestion of fresh brain. Note the slight pink color. Figures (b) and (c) demonstrate fresh brain in an individual who exsanguinated from a ruptured aortic aneurysm. Note the pale discoloration due to blood loss.
C:\Users\valak\Desktop\thesis\images\page_32_image_4.png,(a) Figure (a) demonstrates congestion of fresh brain. Note the slight pink color. Figures (b) and (c) demonstrate fresh brain in an individual who exsanguinated from a ruptured aortic aneurysm. Note the pale discoloration due to blood loss.
C:\Users\valak\Desktop\thesis\images\page_33_image_1.png,"Petechiae associated with heart disease and resuscitation. Morbid obesity. This is a legitimate cause of death and can stand alone on a death certificate. This figure depicts a decedent with an endotracheal tube in the right side of his mouth. It also demonstrates the “purple head sign,” a common finding in victims of sudden death, particularly cardiac death. The explanation for this finding is not known in entirety but is attributed to uncontrolled terminal sympathetic nervous system discharges, which open free capillary sphincters and produce a gush of capillary blood."
C:\Users\valak\Desktop\thesis\images\page_33_image_2.png,"Petechiae associated with heart disease and resuscitation. Morbid obesity. This is a legitimate cause of death and can stand alone on a death certificate. This figure depicts a decedent with an endotracheal tube in the right side of his mouth. It also demonstrates the “purple head sign,” a common finding in victims of sudden death, particularly cardiac death. The explanation for this finding is not known in entirety but is attributed to uncontrolled terminal sympathetic nervous system discharges, which open free capillary sphincters and produce a gush of capillary blood."
C:\Users\valak\Desktop\thesis\images\page_33_image_3.png,"Petechiae associated with heart disease and resuscitation. Morbid obesity. This is a legitimate cause of death and can stand alone on a death certificate. This figure depicts a decedent with an endotracheal tube in the right side of his mouth. It also demonstrates the “purple head sign,” a common finding in victims of sudden death, particularly cardiac death. The explanation for this finding is not known in entirety but is attributed to uncontrolled terminal sympathetic nervous system discharges, which open free capillary sphincters and produce a gush of capillary blood."
C:\Users\valak\Desktop\thesis\images\page_34_image_1.png,Low-power magnified view of small coronary arteries with thrombosis. Epicardial vessel with complete occlusion by organizing thrombus. Note the adjacent epicardial hemorrhage. Coronary artery with a ruptured atherosclerotic plaque and thrombus formation. Marked coronary atherosclerosis in an epicardial vessel.
C:\Users\valak\Desktop\thesis\images\page_34_image_2.png,Low-power magnified view of small coronary arteries with thrombosis. Epicardial vessel with complete occlusion by organizing thrombus. Note the adjacent epicardial hemorrhage. Coronary artery with a ruptured atherosclerotic plaque and thrombus formation. Marked coronary atherosclerosis in an epicardial vessel.
C:\Users\valak\Desktop\thesis\images\page_34_image_3.png,Low-power magnified view of small coronary arteries with thrombosis. Epicardial vessel with complete occlusion by organizing thrombus. Note the adjacent epicardial hemorrhage. Coronary artery with a ruptured atherosclerotic plaque and thrombus formation. Marked coronary atherosclerosis in an epicardial vessel.
C:\Users\valak\Desktop\thesis\images\page_34_image_4.png,Low-power magnified view of small coronary arteries with thrombosis. Epicardial vessel with complete occlusion by organizing thrombus. Note the adjacent epicardial hemorrhage. Coronary artery with a ruptured atherosclerotic plaque and thrombus formation. Marked coronary atherosclerosis in an epicardial vessel.
C:\Users\valak\Desktop\thesis\images\page_35_image_1.png,"(b) An acute myocardial infarction. Note the yellow discoloration due to necrosis. This infarction is approximately 3 to 6 days old. In Figure (b) and (c), there is a transmural acute myocardial infarction with rupture. Acute myocardial infarction."
C:\Users\valak\Desktop\thesis\images\page_35_image_2.png,"(b) An acute myocardial infarction. Note the yellow discoloration due to necrosis. This infarction is approximately 3 to 6 days old. In Figure (b) and (c), there is a transmural acute myocardial infarction with rupture. Acute myocardial infarction."
C:\Users\valak\Desktop\thesis\images\page_35_image_3.png,"(b) An acute myocardial infarction. Note the yellow discoloration due to necrosis. This infarction is approximately 3 to 6 days old. In Figure (b) and (c), there is a transmural acute myocardial infarction with rupture. Acute myocardial infarction."
C:\Users\valak\Desktop\thesis\images\page_35_image_4.png,"(b) An acute myocardial infarction. Note the yellow discoloration due to necrosis. This infarction is approximately 3 to 6 days old. In Figure (b) and (c), there is a transmural acute myocardial infarction with rupture. Acute myocardial infarction."
C:\Users\valak\Desktop\thesis\images\page_35_image_5.png,"(b) An acute myocardial infarction. Note the yellow discoloration due to necrosis. This infarction is approximately 3 to 6 days old. In Figure (b) and (c), there is a transmural acute myocardial infarction with rupture. Acute myocardial infarction."
C:\Users\valak\Desktop\thesis\images\page_36_image_1.png,Two examples of hearts demonstrating acute ruptured myocardial infarction. Note the adjacent hemorrhage and perforation site. This resulted in cardiac tamponade and sudden death. View of the thoracic cavity looking downward at the heart during autopsy (a) and (b). Note the purple discoloration of the pericardial sac due to underlying accumulation of blood. Note the two different examples with large blood clot encasing the heart after the pericardial sac was removed (c) and (d). This demonstrates a cardiac tamponade following an acute ruptured myocardial infarction. (d)
C:\Users\valak\Desktop\thesis\images\page_36_image_2.png,Two examples of hearts demonstrating acute ruptured myocardial infarction. Note the adjacent hemorrhage and perforation site. This resulted in cardiac tamponade and sudden death. View of the thoracic cavity looking downward at the heart during autopsy (a) and (b). Note the purple discoloration of the pericardial sac due to underlying accumulation of blood. Note the two different examples with large blood clot encasing the heart after the pericardial sac was removed (c) and (d). This demonstrates a cardiac tamponade following an acute ruptured myocardial infarction. (d)
C:\Users\valak\Desktop\thesis\images\page_36_image_3.png,Two examples of hearts demonstrating acute ruptured myocardial infarction. Note the adjacent hemorrhage and perforation site. This resulted in cardiac tamponade and sudden death. View of the thoracic cavity looking downward at the heart during autopsy (a) and (b). Note the purple discoloration of the pericardial sac due to underlying accumulation of blood. Note the two different examples with large blood clot encasing the heart after the pericardial sac was removed (c) and (d). This demonstrates a cardiac tamponade following an acute ruptured myocardial infarction. (d)
C:\Users\valak\Desktop\thesis\images\page_36_image_4.png,Two examples of hearts demonstrating acute ruptured myocardial infarction. Note the adjacent hemorrhage and perforation site. This resulted in cardiac tamponade and sudden death. View of the thoracic cavity looking downward at the heart during autopsy (a) and (b). Note the purple discoloration of the pericardial sac due to underlying accumulation of blood. Note the two different examples with large blood clot encasing the heart after the pericardial sac was removed (c) and (d). This demonstrates a cardiac tamponade following an acute ruptured myocardial infarction. (d)
C:\Users\valak\Desktop\thesis\images\page_36_image_5.png,Two examples of hearts demonstrating acute ruptured myocardial infarction. Note the adjacent hemorrhage and perforation site. This resulted in cardiac tamponade and sudden death. View of the thoracic cavity looking downward at the heart during autopsy (a) and (b). Note the purple discoloration of the pericardial sac due to underlying accumulation of blood. Note the two different examples with large blood clot encasing the heart after the pericardial sac was removed (c) and (d). This demonstrates a cardiac tamponade following an acute ruptured myocardial infarction. (d)
C:\Users\valak\Desktop\thesis\images\page_36_image_6.png,Two examples of hearts demonstrating acute ruptured myocardial infarction. Note the adjacent hemorrhage and perforation site. This resulted in cardiac tamponade and sudden death. View of the thoracic cavity looking downward at the heart during autopsy (a) and (b). Note the purple discoloration of the pericardial sac due to underlying accumulation of blood. Note the two different examples with large blood clot encasing the heart after the pericardial sac was removed (c) and (d). This demonstrates a cardiac tamponade following an acute ruptured myocardial infarction. (d)
C:\Users\valak\Desktop\thesis\images\page_36_image_7.png,Two examples of hearts demonstrating acute ruptured myocardial infarction. Note the adjacent hemorrhage and perforation site. This resulted in cardiac tamponade and sudden death. View of the thoracic cavity looking downward at the heart during autopsy (a) and (b). Note the purple discoloration of the pericardial sac due to underlying accumulation of blood. Note the two different examples with large blood clot encasing the heart after the pericardial sac was removed (c) and (d). This demonstrates a cardiac tamponade following an acute ruptured myocardial infarction. (d)
C:\Users\valak\Desktop\thesis\images\page_36_image_8.png,Two examples of hearts demonstrating acute ruptured myocardial infarction. Note the adjacent hemorrhage and perforation site. This resulted in cardiac tamponade and sudden death. View of the thoracic cavity looking downward at the heart during autopsy (a) and (b). Note the purple discoloration of the pericardial sac due to underlying accumulation of blood. Note the two different examples with large blood clot encasing the heart after the pericardial sac was removed (c) and (d). This demonstrates a cardiac tamponade following an acute ruptured myocardial infarction. (d)
C:\Users\valak\Desktop\thesis\images\page_36_image_9.png,Two examples of hearts demonstrating acute ruptured myocardial infarction. Note the adjacent hemorrhage and perforation site. This resulted in cardiac tamponade and sudden death. View of the thoracic cavity looking downward at the heart during autopsy (a) and (b). Note the purple discoloration of the pericardial sac due to underlying accumulation of blood. Note the two different examples with large blood clot encasing the heart after the pericardial sac was removed (c) and (d). This demonstrates a cardiac tamponade following an acute ruptured myocardial infarction. (d)
C:\Users\valak\Desktop\thesis\images\page_37_image_1.png,"This microscopic section of heart muscle reveals an acute myocardial infarction with hemorrhage, polymorphonuclear cell infiltrates, and myocardial necrosis. This acute myocardial infarction demonstrates coagulative necrosis with contraction bands. There are also polymorphonuclear cell infiltrates. This histopathologic section of myocardium reveals an old infarction with fibrosis. This low-power view of heart muscle reveals patchy areas of fibrosis consisting of healed hypoperfusion infarctions secondary to a remote trauma with severe shock. Also note the perivascular fibrosis."
C:\Users\valak\Desktop\thesis\images\page_37_image_2.png,"This microscopic section of heart muscle reveals an acute myocardial infarction with hemorrhage, polymorphonuclear cell infiltrates, and myocardial necrosis. This acute myocardial infarction demonstrates coagulative necrosis with contraction bands. There are also polymorphonuclear cell infiltrates. This histopathologic section of myocardium reveals an old infarction with fibrosis. This low-power view of heart muscle reveals patchy areas of fibrosis consisting of healed hypoperfusion infarctions secondary to a remote trauma with severe shock. Also note the perivascular fibrosis."
C:\Users\valak\Desktop\thesis\images\page_37_image_3.png,"This microscopic section of heart muscle reveals an acute myocardial infarction with hemorrhage, polymorphonuclear cell infiltrates, and myocardial necrosis. This acute myocardial infarction demonstrates coagulative necrosis with contraction bands. There are also polymorphonuclear cell infiltrates. This histopathologic section of myocardium reveals an old infarction with fibrosis. This low-power view of heart muscle reveals patchy areas of fibrosis consisting of healed hypoperfusion infarctions secondary to a remote trauma with severe shock. Also note the perivascular fibrosis."
C:\Users\valak\Desktop\thesis\images\page_37_image_4.png,"This microscopic section of heart muscle reveals an acute myocardial infarction with hemorrhage, polymorphonuclear cell infiltrates, and myocardial necrosis. This acute myocardial infarction demonstrates coagulative necrosis with contraction bands. There are also polymorphonuclear cell infiltrates. This histopathologic section of myocardium reveals an old infarction with fibrosis. This low-power view of heart muscle reveals patchy areas of fibrosis consisting of healed hypoperfusion infarctions secondary to a remote trauma with severe shock. Also note the perivascular fibrosis."
C:\Users\valak\Desktop\thesis\images\page_38_image_1.png,Early to moderate nephro-arteriolosclerosis. Moderate to marked nephro-arteriolosclerosis. Nephro-arteriolosclerosis associated with hypertensive cardiovascular disease. Note the cardiac hypertrophy and biventricular dilatation in this failing heart. There is also moderate atherosclerosis of the aorta. Note the markedly granular subcapsular kidney surfaces and cortical scarring also associated with this process. Arteriovenous hemodialysis grafts for treatment of chronic renal failure due to hypertensive cardiovascular disease. This microscopic image of myocardium reveals significant perivascular fibrosis and small vessel disease in a patient who had a long history of hypertensive cardiovascular disease and diabetes mellitus.
C:\Users\valak\Desktop\thesis\images\page_38_image_2.png,Early to moderate nephro-arteriolosclerosis. Moderate to marked nephro-arteriolosclerosis. Nephro-arteriolosclerosis associated with hypertensive cardiovascular disease. Note the cardiac hypertrophy and biventricular dilatation in this failing heart. There is also moderate atherosclerosis of the aorta. Note the markedly granular subcapsular kidney surfaces and cortical scarring also associated with this process. Arteriovenous hemodialysis grafts for treatment of chronic renal failure due to hypertensive cardiovascular disease. This microscopic image of myocardium reveals significant perivascular fibrosis and small vessel disease in a patient who had a long history of hypertensive cardiovascular disease and diabetes mellitus.
C:\Users\valak\Desktop\thesis\images\page_38_image_3.png,Early to moderate nephro-arteriolosclerosis. Moderate to marked nephro-arteriolosclerosis. Nephro-arteriolosclerosis associated with hypertensive cardiovascular disease. Note the cardiac hypertrophy and biventricular dilatation in this failing heart. There is also moderate atherosclerosis of the aorta. Note the markedly granular subcapsular kidney surfaces and cortical scarring also associated with this process. Arteriovenous hemodialysis grafts for treatment of chronic renal failure due to hypertensive cardiovascular disease. This microscopic image of myocardium reveals significant perivascular fibrosis and small vessel disease in a patient who had a long history of hypertensive cardiovascular disease and diabetes mellitus.
C:\Users\valak\Desktop\thesis\images\page_38_image_4.png,Early to moderate nephro-arteriolosclerosis. Moderate to marked nephro-arteriolosclerosis. Nephro-arteriolosclerosis associated with hypertensive cardiovascular disease. Note the cardiac hypertrophy and biventricular dilatation in this failing heart. There is also moderate atherosclerosis of the aorta. Note the markedly granular subcapsular kidney surfaces and cortical scarring also associated with this process. Arteriovenous hemodialysis grafts for treatment of chronic renal failure due to hypertensive cardiovascular disease. This microscopic image of myocardium reveals significant perivascular fibrosis and small vessel disease in a patient who had a long history of hypertensive cardiovascular disease and diabetes mellitus.
C:\Users\valak\Desktop\thesis\images\page_38_image_5.png,Early to moderate nephro-arteriolosclerosis. Moderate to marked nephro-arteriolosclerosis. Nephro-arteriolosclerosis associated with hypertensive cardiovascular disease. Note the cardiac hypertrophy and biventricular dilatation in this failing heart. There is also moderate atherosclerosis of the aorta. Note the markedly granular subcapsular kidney surfaces and cortical scarring also associated with this process. Arteriovenous hemodialysis grafts for treatment of chronic renal failure due to hypertensive cardiovascular disease. This microscopic image of myocardium reveals significant perivascular fibrosis and small vessel disease in a patient who had a long history of hypertensive cardiovascular disease and diabetes mellitus.
C:\Users\valak\Desktop\thesis\images\page_39_image_1.png,"(a) Normal cross sections of heart (a). Compare this image to the ones below. Figure (b) shows a markedly enlarged heart due to hypertensive cardiovascular disease. This heart is diffusely enlarged and shows cardiac hypertrophy. Figure (c) is a markedly hypertrophied heart with extreme concentric left ventricle hypertrophy. This individual had severe hypertension. (b) (c) This is a microscopic section of kidney showing fibrosis, arteriolosclerosis, and nephrosclerosis due to hypertensive cardiovascular disease. The right and left ventricles show marked dilatation. This individual died of a peripartum cardiomyopathy. A dilated cardiomyopathy or end stage hypertensive cardiovascular disease with cardiac failure will appear the same grossly. The sections of these ventricles reveal marked right ventricle hypertrophy. This individual had end-stage primary pulmonary fibrosis with cor pulmonale and cardiac failure."
C:\Users\valak\Desktop\thesis\images\page_39_image_2.png,"(a) Normal cross sections of heart (a). Compare this image to the ones below. Figure (b) shows a markedly enlarged heart due to hypertensive cardiovascular disease. This heart is diffusely enlarged and shows cardiac hypertrophy. Figure (c) is a markedly hypertrophied heart with extreme concentric left ventricle hypertrophy. This individual had severe hypertension. (b) (c) This is a microscopic section of kidney showing fibrosis, arteriolosclerosis, and nephrosclerosis due to hypertensive cardiovascular disease. The right and left ventricles show marked dilatation. This individual died of a peripartum cardiomyopathy. A dilated cardiomyopathy or end stage hypertensive cardiovascular disease with cardiac failure will appear the same grossly. The sections of these ventricles reveal marked right ventricle hypertrophy. This individual had end-stage primary pulmonary fibrosis with cor pulmonale and cardiac failure."
C:\Users\valak\Desktop\thesis\images\page_39_image_3.png,"(a) Normal cross sections of heart (a). Compare this image to the ones below. Figure (b) shows a markedly enlarged heart due to hypertensive cardiovascular disease. This heart is diffusely enlarged and shows cardiac hypertrophy. Figure (c) is a markedly hypertrophied heart with extreme concentric left ventricle hypertrophy. This individual had severe hypertension. (b) (c) This is a microscopic section of kidney showing fibrosis, arteriolosclerosis, and nephrosclerosis due to hypertensive cardiovascular disease. The right and left ventricles show marked dilatation. This individual died of a peripartum cardiomyopathy. A dilated cardiomyopathy or end stage hypertensive cardiovascular disease with cardiac failure will appear the same grossly. The sections of these ventricles reveal marked right ventricle hypertrophy. This individual had end-stage primary pulmonary fibrosis with cor pulmonale and cardiac failure."
C:\Users\valak\Desktop\thesis\images\page_39_image_4.png,"(a) Normal cross sections of heart (a). Compare this image to the ones below. Figure (b) shows a markedly enlarged heart due to hypertensive cardiovascular disease. This heart is diffusely enlarged and shows cardiac hypertrophy. Figure (c) is a markedly hypertrophied heart with extreme concentric left ventricle hypertrophy. This individual had severe hypertension. (b) (c) This is a microscopic section of kidney showing fibrosis, arteriolosclerosis, and nephrosclerosis due to hypertensive cardiovascular disease. The right and left ventricles show marked dilatation. This individual died of a peripartum cardiomyopathy. A dilated cardiomyopathy or end stage hypertensive cardiovascular disease with cardiac failure will appear the same grossly. The sections of these ventricles reveal marked right ventricle hypertrophy. This individual had end-stage primary pulmonary fibrosis with cor pulmonale and cardiac failure."
C:\Users\valak\Desktop\thesis\images\page_39_image_5.png,"(a) Normal cross sections of heart (a). Compare this image to the ones below. Figure (b) shows a markedly enlarged heart due to hypertensive cardiovascular disease. This heart is diffusely enlarged and shows cardiac hypertrophy. Figure (c) is a markedly hypertrophied heart with extreme concentric left ventricle hypertrophy. This individual had severe hypertension. (b) (c) This is a microscopic section of kidney showing fibrosis, arteriolosclerosis, and nephrosclerosis due to hypertensive cardiovascular disease. The right and left ventricles show marked dilatation. This individual died of a peripartum cardiomyopathy. A dilated cardiomyopathy or end stage hypertensive cardiovascular disease with cardiac failure will appear the same grossly. The sections of these ventricles reveal marked right ventricle hypertrophy. This individual had end-stage primary pulmonary fibrosis with cor pulmonale and cardiac failure."
C:\Users\valak\Desktop\thesis\images\page_39_image_6.png,"(a) Normal cross sections of heart (a). Compare this image to the ones below. Figure (b) shows a markedly enlarged heart due to hypertensive cardiovascular disease. This heart is diffusely enlarged and shows cardiac hypertrophy. Figure (c) is a markedly hypertrophied heart with extreme concentric left ventricle hypertrophy. This individual had severe hypertension. (b) (c) This is a microscopic section of kidney showing fibrosis, arteriolosclerosis, and nephrosclerosis due to hypertensive cardiovascular disease. The right and left ventricles show marked dilatation. This individual died of a peripartum cardiomyopathy. A dilated cardiomyopathy or end stage hypertensive cardiovascular disease with cardiac failure will appear the same grossly. The sections of these ventricles reveal marked right ventricle hypertrophy. This individual had end-stage primary pulmonary fibrosis with cor pulmonale and cardiac failure."
C:\Users\valak\Desktop\thesis\images\page_40_image_1.png,"The intimal lining of an aorta with marked atherosclerosis in a decedent with a longstanding history of smoking, diabetes, high cholesterol, and high blood pressure. Abdominal aortic atherosclerotic aneurysm shown in its typical location inferior to the renal arteries and above the iliac bifurcation. This abdominal aortic aneurysm has been cross sectioned to show the partial obstruction of the aneurysm by organizing thrombosis. The lumen is demonstrated by fresh red blood clot at its surface and the thrombus is demonstrated by the light grey regions adjacent to the right and left wall. An abdominal atherosclerotic aneurysm with a rupture at its anterior aspect and visible thrombosis. This abdominal aortic aneurysm that has been opened to remove half of the vessel wall and show the underlying intimal surface with moderate atherosclerosis except for the region of the aneurysm, which has marked atherosclerosis and a large overlying thrombus. Abdominal aortic aneurysm with vascular graft repair."
